,City,State,Max_temp,Humidity,Cloudiness,Windspeed,Date,Time
119,El Paso, TX,9.51,47,0,4.12,2022-03-12,16:48:19
120,Albuquerque, NM,8.49,27,0,2.24,2022-03-12,16:48:05
121,Stockton, CA,15.83,48,0,3.09,2022-03-12,16:47:02
122,Fresno, CA,15.29,49,0,0.0,2022-03-12,16:48:19
123,Nampa, ID,11.22,53,0,4.12,2022-03-12,16:48:19
124,Brownsville, TX,11.16,39,0,7.2,2022-03-12,16:48:20
125,Bakersfield, CA,20.47,32,0,1.54,2022-03-12,16:47:31
126,Jacksonville, FL,18.06,69,75,11.32,2022-03-12,16:46:06
127,Las Cruces, NM,9.19,56,0,1.54,2022-03-12,16:47:31
128,Winston-Salem, NC,3.17,60,100,8.75,2022-03-12,16:48:20
129,San Antonio, TX,9.68,28,0,2.06,2022-03-12,16:45:03
130,Rochester, NY,-3.84,70,75,4.12,2022-03-12,16:43:38
131,Newark, NJ,1.97,91,100,11.32,2022-03-12,16:48:08
132,Las Vegas, NV,16.45,17,0,0.45,2022-03-12,16:44:12
133,Columbus, OH,-4.62,54,75,10.29,2022-03-12,16:44:52
134,North Las Vegas, NV,16.75,15,0,0.0,2022-03-12,16:44:31
135,Buffalo, NY,-3.25,62,75,7.72,2022-03-12,16:48:22
136,Greensboro, NC,3.65,65,100,7.72,2022-03-12,16:43:39
137,Lexington-Fayette, KY,-3.94,59,20,7.72,2022-03-12,16:46:45
138,Corpus Christi, TX,9.53,37,20,9.77,2022-03-12,16:48:22
139,Huntsville, AL,-0.8,54,40,11.83,2022-03-12,16:45:21
140,Philadelphia, PA,1.06,90,100,11.32,2022-03-12,16:43:26
141,Wichita, KS,0.14,46,0,5.66,2022-03-12,16:47:42
142,Amarillo, TX,6.16,47,0,11.32,2022-03-12,16:46:21
143,Lewiston, ME,6.02,97,100,4.63,2022-03-12,16:48:23
144,Salem, OR,24.14,46,21,2.69,2022-03-12,16:44:32
145,Newport News, VA,6.1,86,100,9.77,2022-03-12,16:48:23
146,New Orleans, LA,8.36,43,0,13.38,2022-03-12,16:48:01
147,Oklahoma City, OK,6.54,46,0,2.68,2022-03-12,16:43:50
148,Baltimore, MD,1.33,92,100,8.23,2022-03-12,16:42:21
149,Richmond, VA,1.93,89,100,12.35,2022-03-12,16:46:24
150,Dover, DE,1.67,94,100,7.15,2022-03-12,16:45:25
151,Kansas City, MO,-4.11,41,0,1.34,2022-03-12,16:46:11
152,San Bernardino, CA,15.99,9,0,1.99,2022-03-12,16:44:20
153,Cincinnati, OH,-3.55,59,100,4.63,2022-03-12,16:46:52
154,Fort Wayne, IN,-6.22,72,75,5.66,2022-03-12,16:47:58
155,Springfield, MO,-3.77,47,0,4.12,2022-03-12,16:45:02
156,Lubbock, TX,6.88,29,0,7.2,2022-03-12,16:45:41
157,Baton Rouge, LA,8.82,40,0,7.2,2022-03-12,16:44:13
158,Louisville, KY,-3.11,52,20,7.72,2022-03-12,16:48:25
159,Indianapolis, IN,-5.23,54,75,8.23,2022-03-12,16:46:21
160,St. Louis, MO,-3.09,45,0,1.79,2022-03-12,16:48:26
161,Tulsa, OK,1.28,46,0,2.68,2022-03-12,16:48:10
162,Little Rock, AR,1.1,49,0,5.14,2022-03-12,16:45:17
163,Knoxville, TN,-1.66,80,75,5.66,2022-03-12,16:45:54
164,Akron, OH,-4.94,54,100,8.75,2022-03-12,16:47:35
165,Chattanooga, TN,-0.25,61,75,7.2,2022-03-12,16:46:00
166,Columbus, GA,-4.62,54,75,10.29,2022-03-12,16:44:52
167,Fayetteville, NC,10.11,76,100,7.72,2022-03-12,16:48:27
168,Jackson, MS,13.89,65,0,1.54,2022-03-12,16:46:59
169,Birmingham, AL,1.93,59,100,7.72,2022-03-12,16:45:21
170,Toledo, OH,13.51,64,60,7.67,2022-03-12,16:48:27
171,Charleston, WV,21.1,52,20,12.86,2022-03-12,16:45:58
172,Shreveport, LA,6.12,51,0,4.12,2022-03-12,16:45:41
173,Mobile, AL,7.99,44,20,8.75,2022-03-12,16:48:28
174,Fort Smith, AR,2.43,50,0,1.34,2022-03-12,16:48:28
175,Augusta, GA,11.61,35,0,4.63,2022-03-12,16:48:28
176,Cleveland, OH,-4.83,60,100,10.29,2022-03-12,16:48:29
177,Montgomery, AL,-0.18,92,100,6.69,2022-03-12,16:47:31
178,Huntington, WV,-2.99,65,100,8.23,2022-03-12,16:48:29
179,Memphis, TN,-0.87,40,0,6.69,2022-03-12,16:43:49
180,Gulfport, MS,6.72,40,0,11.83,2022-03-12,16:44:07
181,Detroit, MI,-4.99,47,40,7.2,2022-03-12,16:44:44
